url,total_clicks,unique_clicks,digest_num,publisher
https://www.nytimes.com/2019/06/10/opinion/hong-kong-protests.html,1,1,6,nytimes.com
https://www.nytimes.com/2019/06/10/opinion/hong-kong-protests.html,1,1,6,nytimes.com
https://www.nytimes.com/2019/06/13/world/asia/hong-kong-xi-jinping-china.html,1,1,6,nytimes.com
https://www.nytimes.com/2019/06/13/world/asia/hong-kong-xi-jinping-china.html,1,1,6,nytimes.com
https://www.scmp.com/news/hong-kong/politics/article/3014432/officers-used-excessive-force-contain-hong-kong-extradition,1,1,6,scmp.com
https://www.scmp.com/news/hong-kong/politics/article/3014432/officers-used-excessive-force-contain-hong-kong-extradition,1,1,6,scmp.com
https://www.theatlantic.com/international/archive/2019/06/hong-kong-protests-solidarity-tiananmen/591508/,1,1,6,theatlantic.com
https://www.theatlantic.com/international/archive/2019/06/hong-kong-protests-solidarity-tiananmen/591508/,1,1,6,theatlantic.com
https://www.washingtonpost.com/opinions/global-opinions/people-in-hong-kong-want-their-freedom-beijing-is-about-to-say-tough-luck/2019/06/10/41aff5da-8b9f-11e9-8f69-a2795fca3343_story.html,1,1,6,ashingtonpost.com
https://www.washingtonpost.com/opinions/global-opinions/people-in-hong-kong-want-their-freedom-beijing-is-about-to-say-tough-luck/2019/06/10/41aff5da-8b9f-11e9-8f69-a2795fca3343_story.html,1,1,6,ashingtonpost.com
https://www.washingtonpost.com/politics/2019/06/11/why-are-there-massive-protests-hong-kong/,1,1,6,ashingtonpost.com
https://www.washingtonpost.com/politics/2019/06/11/why-are-there-massive-protests-hong-kong/,1,1,6,ashingtonpost.com
http://www.theguardian.com/commentisfree/2019/jun/13/lawyer-protesting-law-hong-kong-extradition-bill-china,0,0,6,theguardian.com
http://www.theguardian.com/commentisfree/2019/jun/13/lawyer-protesting-law-hong-kong-extradition-bill-china,0,0,6,theguardian.com
http://www.theguardian.com/world/2019/jun/11/hong-kong-extradition-law-protesters-rally-outside-government-offices,0,0,6,theguardian.com
http://www.theguardian.com/world/2019/jun/11/hong-kong-extradition-law-protesters-rally-outside-government-offices,0,0,6,theguardian.com
http://www.theguardian.com/world/2019/jun/13/hong-kong-protests-extradition-carrie-lam-riot-police,0,0,6,theguardian.com
http://www.theguardian.com/world/2019/jun/13/hong-kong-protests-extradition-carrie-lam-riot-police,0,0,6,theguardian.com
http://www.theguardian.com/world/2019/jun/14/hong-kongs-digital-battle-technology-that-helped-protesters-now-used-against-them,0,0,6,theguardian.com
http://www.theguardian.com/world/2019/jun/14/hong-kongs-digital-battle-technology-that-helped-protesters-now-used-against-them,0,0,6,theguardian.com
https://www.bloomberg.com/opinion/articles/2019-06-12/hong-kong-protests-show-the-limits-of-economic-freedom,0,0,6,bloomberg.com
https://www.bloomberg.com/opinion/articles/2019-06-12/hong-kong-protests-show-the-limits-of-economic-freedom,0,0,6,bloomberg.com
https://www.economist.com/china/2019/06/12/they-chose-to-come-and-fight-for-the-freedom-of-hong-kong,0,0,6,economist.com
https://www.economist.com/china/2019/06/12/they-chose-to-come-and-fight-for-the-freedom-of-hong-kong,0,0,6,economist.com
https://www.forbes.com/sites/kenrapoza/2019/06/10/hong-kong-risks-becoming-a-new-variable-in-china-trade-war/,0,0,6,forbes.com
https://www.forbes.com/sites/kenrapoza/2019/06/10/hong-kong-risks-becoming-a-new-variable-in-china-trade-war/,0,0,6,forbes.com
https://www.independent.co.uk/voices/hong-kong-protests-extradition-china-police-china-a8957811.html,0,0,6,independent.co.uk
https://www.independent.co.uk/voices/hong-kong-protests-extradition-china-police-china-a8957811.html,0,0,6,independent.co.uk
https://www.irishtimes.com/opinion/hong-kong-uk-must-tell-un-china-reneging-on-obligations-1.3924963,0,0,6,irishtimes.com
https://www.irishtimes.com/opinion/hong-kong-uk-must-tell-un-china-reneging-on-obligations-1.3924963,0,0,6,irishtimes.com
https://www.newstatesman.com/world/asia/2019/06/why-british-government-must-speak-people-hong-kong,0,0,6,newstatesman.com
https://www.newstatesman.com/world/asia/2019/06/why-british-government-must-speak-people-hong-kong,0,0,6,newstatesman.com
https://www.nytimes.com/2014/10/02/business/protesters-are-targets-of-scrutiny-through-their-phones.html,0,0,6,nytimes.com
https://www.nytimes.com/2014/10/02/business/protesters-are-targets-of-scrutiny-through-their-phones.html,0,0,6,nytimes.com
https://www.nytimes.com/2019/06/13/world/asia/hong-kong-extradition-bill-protests-police.html,0,0,6,nytimes.com
https://www.nytimes.com/2019/06/13/world/asia/hong-kong-extradition-bill-protests-police.html,0,0,6,nytimes.com
https://www.scmp.com/business/companies/article/3014478/hong-kongs-controversial-extradition-bill-will-damage-citys,0,0,6,scmp.com
https://www.scmp.com/business/companies/article/3014478/hong-kongs-controversial-extradition-bill-will-damage-citys,0,0,6,scmp.com
https://www.scmp.com/news/hong-kong/politics/article/3014260/hong-kongs-young-protesters-have-learned-lessons-past-they,0,0,6,scmp.com
https://www.scmp.com/news/hong-kong/politics/article/3014260/hong-kongs-young-protesters-have-learned-lessons-past-they,0,0,6,scmp.com
https://www.theglobeandmail.com/world/article-hong-kong-presses-ahead-with-extradition-bill-despite-protests/,0,0,6,theglobeandmail.com
https://www.theglobeandmail.com/world/article-hong-kong-presses-ahead-with-extradition-bill-despite-protests/,0,0,6,theglobeandmail.com
https://www.theglobeandmail.com/world/article-in-hong-kong-thousands-spend-night-on-streets-as-legislators-prepare/,0,0,6,theglobeandmail.com
https://www.theglobeandmail.com/world/article-in-hong-kong-thousands-spend-night-on-streets-as-legislators-prepare/,0,0,6,theglobeandmail.com
https://www.washingtonpost.com/opinions/2019/06/07/hong-kongs-extradition-law-threatens-our-democratic-spirit-its-also-awakening-it/,0,0,6,ashingtonpost.com
https://www.washingtonpost.com/opinions/2019/06/07/hong-kongs-extradition-law-threatens-our-democratic-spirit-its-also-awakening-it/,0,0,6,ashingtonpost.com
https://www.washingtonpost.com/world/2019/06/12/china-cant-smash-hong-kongs-spirit/,0,0,6,ashingtonpost.com
