,URL,Total_clicks,Unique_clicks,Digest_num,Ranking
58,https://slate.com/news-and-politics/2019/08/ebola-congo-emergency-poverty.html,4,4,18,24
59,https://www.nytimes.com/2019/08/08/books/review/richard-preston-crisis-in-the-red-zone.html,4,4,18,8
60,https://www.japantimes.co.jp/opinion/2019/08/10/editorials/ebola-continues-rage-africa/,2,2,18,23
61,https://www.theeastafrican.co.ke/scienceandhealth/Ebola-alters-life-for-dr-congo-rwanda-border-residents/3073694-5247330-u8soie/index.html,2,2,18,25
62,https://www.newtimes.co.rw/africa/chinas-medical-teams-help-resurrect-public-health-africa,2,2,18,14
63,https://www.wired.com/story/ebola-is-now-curable-heres-how-the-new-treatments-work/,2,2,18,22
64,https://www.aljazeera.com/indepth/inpictures/people-fighting-spread-ebola-drc-190819065038868.html,2,2,18,10
65,http://theconversation.com/why-the-drc-ebola-outbreak-was-declared-a-global-emergency-and-why-it-matters-121991,1,1,18,11
66,http://theconversation.com/tshisekedi-has-taken-over-the-drcs-ebola-response-how-he-can-make-a-difference-121595,1,1,18,20
67,https://scienmag.com/community-based-wildlife-carcass-surveillance-is-key-for-early-detection-of-ebola-virus/,1,1,18,15
68,https://www.newtimes.co.rw/news/what-you-need-know-about-new-ebola-drugs,1,1,18,12
69,https://www.reuters.com/article/us-health-ebola-congo-idUSKCN1UW12O,1,1,18,3
70,https://www.telegraph.co.uk/global-health/science-and-disease/misinformation-driving-drcs-ebola-outbreak/,1,1,18,18
71,https://www.voanews.com/africa/uganda-us-senators-call-ebola-action-praise-refugee-resettlement-efforts,1,1,18,7
72,http://theconversation.com/how-to-manage-in-a-crisis-lessons-from-the-west-africa-ebola-outbreak-121590,0,0,18,13
73,http://theconversation.com/the-uganda-vaccine-trial-how-african-researchers-are-tackling-ebola-121517,0,0,18,17
74,https://thehill.com/policy/healthcare/459401-congos-ebola-outbreak-marks-grim-milestone-as-death-toll-surpasses-2000,0,0,18,19
75,https://www.theatlantic.com/science/archive/2019/11/astronaut-blood-clot/602380/,49,42,29,5
76,https://www.ft.com/content/a4300b42-f3fe-11e9-a79c-bc9acae3b654,14,14,29,3
77,https://www.cnet.com/news/spacex-everything-to-know-about-elon-musk-space-company/,13,12,29,8
78,https://www.digitaltrends.com/cool-tech/offworld-swarms-robots-other-planets/,13,12,29,2
79,https://www.aspistrategist.org.au/towards-space-3-0/,9,6,29,14
80,https://www.thespacereview.com/article/3834/1,9,9,29,1
