,url,total_clicks,unique_clicks,digest_num,publisher
0,https://foreignpolicy.com/2019/06/12/britain-failed-hong-kong/,82,72,6,foreignpolicy.com
1,https://foreignpolicy.com/2019/06/12/britain-failed-hong-kong/,82,72,6,foreignpolicy.com
2,https://www.nytimes.com/2019/06/13/world/asia/hong-kong-telegram-protests.html,18,18,6,nytimes.com
3,https://www.nytimes.com/2019/06/13/world/asia/hong-kong-telegram-protests.html,18,18,6,nytimes.com
4,https://foreignpolicy.com/2019/06/12/hong-kongers-wont-bow-to-beijing-but-their-leaders-will/,12,11,6,foreignpolicy.com
5,https://foreignpolicy.com/2019/06/12/hong-kongers-wont-bow-to-beijing-but-their-leaders-will/,12,11,6,foreignpolicy.com
6,https://qz.com/1635504/everything-you-need-to-know-about-hong-kongs-extradition-law/,10,10,6,qz.com
7,https://qz.com/1635504/everything-you-need-to-know-about-hong-kongs-extradition-law/,10,10,6,qz.com
8,https://www.bloomberg.com/news/articles/2019-06-13/how-encrypted-messages-car-crashes-helped-hong-kong-protesters,10,10,6,bloomberg.com
9,https://www.bloomberg.com/news/articles/2019-06-13/how-encrypted-messages-car-crashes-helped-hong-kong-protesters,10,10,6,bloomberg.com
10,https://www.nytimes.com/2019/06/12/world/asia/hong-kong-protests-carrie-lam-xi-jinping.html,8,8,6,nytimes.com
11,https://www.nytimes.com/2019/06/12/world/asia/hong-kong-protests-carrie-lam-xi-jinping.html,8,8,6,nytimes.com
12,https://www.economist.com/leaders/2019/06/13/the-rule-of-law-in-hong-kong,5,5,6,economist.com
13,https://www.economist.com/leaders/2019/06/13/the-rule-of-law-in-hong-kong,5,5,6,economist.com
14,https://www.nytimes.com/2019/06/13/opinion/hong-kong-protests-trump.html,5,5,6,nytimes.com
15,https://www.nytimes.com/2019/06/13/opinion/hong-kong-protests-trump.html,5,5,6,nytimes.com
16,https://www.scmp.com/comment/opinion/article/3014144/extradition-row-erodes-confidence-hong-kong-singapore-looking,5,5,6,scmp.com
17,https://www.scmp.com/comment/opinion/article/3014144/extradition-row-erodes-confidence-hong-kong-singapore-looking,5,5,6,scmp.com
18,https://www.bloomberg.com/opinion/articles/2019-06-12/hong-kong-protests-are-related-to-trump-s-trade-war,4,4,6,bloomberg.com
19,https://www.bloomberg.com/opinion/articles/2019-06-12/hong-kong-protests-are-related-to-trump-s-trade-war,4,4,6,bloomberg.com
20,https://www.scmp.com/comment/opinion/article/3013351/carrie-lam-may-win-battle-pass-hong-kongs-extradition-law-what-cost,4,4,6,scmp.com
21,https://www.scmp.com/comment/opinion/article/3013351/carrie-lam-may-win-battle-pass-hong-kongs-extradition-law-what-cost,4,4,6,scmp.com
22,https://foreignpolicy.com/2019/06/10/hong-kongs-last-stand-extradition-trump-mexico-iran/,3,3,6,foreignpolicy.com
